quantidade_de_alunos,nome_do_curso
62,Lógica de programação
52,Java para Web
25,C# para Web
33,Ruby on Rails
59,Cursos de Python
17,PHP com MySql
56,.NET para web
37,Novas integrações com Java
70,TDD com Java
12,Código limpo com C#
81,Preparatório para certificação Java
22,Hardware básico
52,Persistência com .NET
31,Desenvolvendo jogos
82,Análise de dados
16,Estatística básica
44,Internet das coisas
23,Programação funcional
67,Boas práticas em Java
18,Orientação objetos com Java
